$PRPSHEET:"SW-File Name",,,,,,
ITEM NO.,QTY.,Dwg no.,Lchk,LENGTH,DESCRIPTION,PART NUMBER
27.4,2,,,,CPLG 1.00" FNPT FULL 150# CS,  3003-0100-000
27.5,1,,,,CPLG .5" FNPT HALF 150# CS.,  3004-0050-000
27.6,1,,,,RCVR TNK HRZ 120G CS GRASSHOPP ASME,  6008-0120-000
27.7,1,,,,FLANGE SLIP-ON 4" 150# CS W/RF,  3214-0400-000
28,1,,,,DISCH MANIFLD 4"150# FLG 90 DEG CS,6820-0400-035
29,4, ,,,VIBRATION ISOLATOR 1500# BLACK,7500-1500-001
30,3,20241198,,,1951002006 W/TEFC MOTOR 230/460,1951002006-230-460V
30.1,1,,,,DRIVE CPLG ASSY 8S 38MM/1.62" CI/EP,  2321-0800-000
30.1.1,1,,,,DRIVE CPLG ELMNT 8S EPDM SINGLE,    2302-0800-000
30.1.2,1,,,,DRIVE CPLG 8S 1.625" CI STD BORE,    2320-0800-162
30.1.3,1,,,,DRIVE CPLG 8S 38MM CI STD BORE,    2320-0801-038
30.2,4,,,,BOLT SOCKET HD CS 1/2-13 X 1,  3800-5010-002
30.3,1,,,,MOTOR 15HP 4P 230/460V 254TC PREM,  5010-0150-100
30.4,1,DV0200D-KA3,,,AWC 280 A CISS BS,  1951002006
30.4.1,1,1000-0102-M00,,,HSG, BEARING DV0200/150 CI MACH,    1000-0102-M00
30.4.2,1,1000-0105-M00,,,BARREL,DV0200 CI MACH,    1000-0105-M00
30.4.3,1,1000-0004-M00,,,PLATE, PORT DV0300/200/150 CI MACH,    1000-0004-M00
30.4.4,1,1000-0009-M00,,,HSG, END DV0300/200/150 CI MACH,    1000-0009-M00
30.4.5,1,1000-0101-M00,,,SHAFT DV0200 STEEL,    1000-0101-M00
30.4.6,9,X,,,WASHER, FLAT M12 GR 8.8 PLAIN,    3830-0M12-001
30.4.7,4,1000-0021-000,,,SCREW, HHCS M12 X 30 GR 8.8 C/S,    3821-0012-000
30.4.8,5,,,,SCREW, SHCS M12 X 120 GR8.8 C/S,    3821-0012-002
30.4.9,1,1000-0020-M00,,,ADAPTOR, FLANGE DV0300/200/150,    1000-0020-M00
30.4.10,4,3800-1235-002,,,SCREW, SHCS M12 X 35 GR12.9 C/S,    3800-1235-002
30.4.11,1,,,,SCREW, SHCS M10 X 90 GR 8.8 C/S,    3821-0010-000
30.4.12,1,2012668,,,GUARD, CPLG BRG HSG DV0300/200/150,    3700-2012-668
30.4.13,3,,,,PLUG SQ HD CS .25" MNPT,    3085-0025-025
30.4.14,1,,,,PLUG SQ HD CS .38" MNPT,    3085-0037-025
30.4.15,3,,,,PLUG SQ HD CS .5" MNPT,    3085-0050-025
31,1, ,,,CONTROL PANEL 15HP TRIPLEX MED N12,2250-1176-970
32,1,,,,BRACKET PIPE SUPPORT CS,2728-2025-529
32.1,1,,,6.50,STOCK FLAT 1/4"X2"X20FT CS A36,  6652-0025-002
32.2,1,,,22.25,ANGLE 1/4"X2"X2"X20FT A-36 CS,  6600-0025-001
32.3,1,,,9.75,ANGLE 1/4"X2"X2"X20FT A-36 CS,  6600-0025-001
32.4,1,,,8.00,ANGLE 1/4"X2"X2"X20FT A-36 CS,  6600-0025-001
33,1,,,,U-BOLT 3.5"ID 3/8-16 UNC 3 PIPE,3825-0350-000
