assy,Op,WC,Item,Q,Description,U
6890-ACV0121010-5,10,PICK,3031-0050-025,2.0,"UNION .5"" FNPT",EA
6890-ACV0121010-5,10,PICK,3085-0050-025,2.0,"PLUG SQ HD CS .5"" MNPT",EA
6890-ACV0121010-5,10,PICK,3086-0515-025,6.0,"NIPPLE .5""MNPT X 1.5""",EA
6890-ACV0121010-5,10,PICK,3086-0535-025,1.0,"NIPPLE .5""MNPT X 3.5""",EA
6890-ACV0121010-5,10,PICK,3086-0545-025,1.0,"NIPPLE .5""MNPT X 4.5""",EA
6890-ACV0121010-5,10,PICK,3615-0050-019,1.0,"GAUGE LVL .5"" MNPT 20.5""LG 316SS/POL/T",EA
6890-ACV0121010-5,10,PICK,7302-0050-000,1.0,"VLV BALL .5""FNPT FP 2-PC BRZ/TF",EA
6890-ACV0121010-6,10,PICK,3002-0705-025,1.0,"BUSHING .75""MNPT X .50""FNPT",EA
6890-ACV0121010-6,10,PICK,3002-1505-025,1.0,"BUSHING 1.5""MNPT X .50""FNPT",EA
6890-ACV0121010-6,10,PICK,3012-0050-025,3.0,"ELBOW .50"" 90°",EA
6890-ACV0121010-6,10,PICK,3025-0050-025,3.0,"TEE .5"" FNPT",EA
6890-ACV0121010-6,10,PICK,3031-0050-025,2.0,"UNION .5"" FNPT",EA
6890-ACV0121010-6,10,PICK,3085-0050-025,3.0,"PLUG SQ HD CS .5"" MNPT",EA
6890-ACV0121010-6,10,PICK,3086-0515-025,6.0,"NIPPLE .5""MNPT X 1.5""",EA
6890-ACV0121010-6,10,PICK,3086-0560-025,1.0,"NIPPLE .5""MNPT X 6.0""",EA
6890-ACV0121010-6,10,PICK,3615-0050-019,1.0,"GAUGE LVL .5"" MNPT 20.5""LG 316SS/POL/T",EA
6890-ACV0121010-6,10,PICK,5500-0050-000,1.45,"PIPE .50"" NOM DIA XSCH40 CS.",FT
6890-ACV0121010-6,10,PICK,7302-0050-000,1.0,"VLV BALL .5""FNPT FP 2-PC BRZ/TF",EA
ACV0121010,10,PICK,0300-2025-035,1.0,BASEPLATE ACV0121010,EA
ACV0121010,10,PICK,1951002006-230-460V,3.0,1951002006 W/TEFC MOTOR 230/460,EA
ACV0121010,10,PICK,2250-1176-970,1.0,CONTROL PANEL 15HP TRIPLEX MED N12,EA
ACV0121010,10,PICK,2728-2025-036,1.0,BRACKET HT EXCH SUPPORT,EA
ACV0121010,10,PICK,2728-2025-097,1.0,BRACKET PIPE SUPPORT CS,EA
ACV0121010,10,PICK,2728-2025-529,1.0,BRACKET PIPE SUPPORT CS,EA
ACV0121010,10,PICK,3085-0025-025,2.0,"PLUG SQ HD CS .25"" MNPT",EA
ACV0121010,10,PICK,3085-0075-025,1.0,"PLUG SQ HD CS .75"" MNPT",EA
ACV0121010,10,PICK,3085-0150-025,5.0,"PLUG SQ HD CS 1.5"" MNPT",EA
ACV0121010,10,PICK,3085-0200-025,3.0,"PLUG SQ HD CS 2.0"" MNPT",EA
ACV0121010,10,PICK,3510-0400-001,1.0,"GASKET PTFE  6.88"" ODX4.50"" ID X.12""",EA
ACV0121010,10,PICK,3775-0400-001,1.0,"BOLT SET FOR 4"" 150# FLG ZINC PLTD",EA
ACV0121010,10,PICK,3800-4310-001,4.0,BOLT SERR HEX FLG 7/16-14 X 1,EA
ACV0121010,10,PICK,3800-5010-005,12.0,BOLT SERR HEX FLG 1/2-13 X 1.0 ZINC,EA
ACV0121010,10,PICK,3800-5015-001,20.0,BOLT SERR HEX FLG 1/2-13 X 1.5,EA
ACV0121010,10,PICK,3800-5035-001,4.0,"BOLT HEX 1/2-20 X 3.5""LG GR5 CS ZINC",EA
ACV0121010,10,PICK,3800-5040-001,4.0,BOLT HEX FLG 1/2-13 X 4.0LG GR8,EA
ACV0121010,10,PICK,3810-0043-001,4.0,NUT LOCK SERR FLG 7/16-14,EA
ACV0121010,10,PICK,3810-0050-001,36.0,NUT LOCK SERR FLG 1/2-13,EA
ACV0121010,10,PICK,3825-0250-001,1.0,"U-BOLT 2.5"" ID 5/16-18 UNC 2"" PIPE",EA
ACV0121010,10,PICK,3825-0350-000,1.0,"U-BOLT 3.5""ID 3/8-16 UNC 3 PIPE",EA
ACV0121010,10,PICK,3830-0050-004,4.0,WASHER 1/2 GR8 USS FLAT ZINC,EA
ACV0121010,10,PICK,4038-0548-005,1.0,HT EX 0542 4PASS BR/CU/CI,EA
ACV0121010,10,PICK,6000-0120-202-G,1.0,RECEIVER TNK HORZ 120 GAL CS ASME GALV,EA
ACV0121010,10,PICK,6008-0120-009,1.0,TNK HRZ 120G CS GRASSHOPP - CAMEL SYSTEM,EA
ACV0121010,10,PICK,6820-0400-035,1.0,"DISCH MANIFLD 4""150# FLG 90 DEG CS",EA
ACV0121010,10,PICK,6890-ACV0121010-1,1.0,INPUT PIPING CS,EA
ACV0121010,10,PICK,6890-ACV0121010-2,1.0,EXHAUST PIPING CS,EA
ACV0121010,10,PICK,6890-ACV0121010-3,1.0,SEAL FLUID PIPING CS,EA
ACV0121010,10,PICK,6890-ACV0121010-4,1.0,OVERFLOW PIPING CS,EA
ACV0121010,10,PICK,6890-ACV0121010-5,1.0,DRAIN/LEVEL GAUGE PIPING CS - LOWER TANK,EA
ACV0121010,10,PICK,6890-ACV0121010-6,1.0,DRAIN/LEVEL GAUGE PIPING CS - UPPER TANK,EA
ACV0121010,10,PICK,7500-1500-001,4.0,VIBRATION ISOLATOR 1500# BLACK,EA
